Year,Sector,SectorShort,AgeLabel,Value
2000,Accommodation & Food Services,Accommodation & Food,15-19,2.2
2000,Accommodation & Food Services,Accommodation & Food,20-24,5.3
2000,Accommodation & Food Services,Accommodation & Food,25-29,7.4
2000,Accommodation & Food Services,Accommodation & Food,30-34,8.2
2000,Accommodation & Food Services,Accommodation & Food,35-39,11.4
2000,Accommodation & Food Services,Accommodation & Food,40-44,14.6
2000,Accommodation & Food Services,Accommodation & Food,45-49,15.1
2000,Accommodation & Food Services,Accommodation & Food,50-54,13.2
2000,Accommodation & Food Services,Accommodation & Food,55-59,7.2
2000,Accommodation & Food Services,Accommodation & Food,60-64,4.4
2000,Accommodation & Food Services,Accommodation & Food,65+,3.6
2001,Accommodation & Food Services,Accommodation & Food,15-19,4.2
2001,Accommodation & Food Services,Accommodation & Food,20-24,6.3
2001,Accommodation & Food Services,Accommodation & Food,25-29,6.9
2001,Accommodation & Food Services,Accommodation & Food,30-34,8.7
2001,Accommodation & Food Services,Accommodation & Food,35-39,12.6
2001,Accommodation & Food Services,Accommodation & Food,40-44,15.7
2001,Accommodation & Food Services,Accommodation & Food,45-49,16.6
2001,Accommodation & Food Services,Accommodation & Food,50-54,16.6
2001,Accommodation & Food Services,Accommodation & Food,55-59,7.8
2001,Accommodation & Food Services,Accommodation & Food,60-64,5.6
2001,Accommodation & Food Services,Accommodation & Food,65+,4
2002,Accommodation & Food Services,Accommodation & Food,15-19,3.7
2002,Accommodation & Food Services,Accommodation & Food,20-24,5.3
2002,Accommodation & Food Services,Accommodation & Food,25-29,7
2002,Accommodation & Food Services,Accommodation & Food,30-34,7.7
2002,Accommodation & Food Services,Accommodation & Food,35-39,11.8
2002,Accommodation & Food Services,Accommodation & Food,40-44,15
2002,Accommodation & Food Services,Accommodation & Food,45-49,17.5
2002,Accommodation & Food Services,Accommodation & Food,50-54,15.3
2002,Accommodation & Food Services,Accommodation & Food,55-59,9.7
2002,Accommodation & Food Services,Accommodation & Food,60-64,6.2
2002,Accommodation & Food Services,Accommodation & Food,65+,4.1
2003,Accommodation & Food Services,Accommodation & Food,15-19,3.9
2003,Accommodation & Food Services,Accommodation & Food,20-24,6.8
2003,Accommodation & Food Services,Accommodation & Food,25-29,7.5
2003,Accommodation & Food Services,Accommodation & Food,30-34,8.3
2003,Accommodation & Food Services,Accommodation & Food,35-39,11.6
2003,Accommodation & Food Services,Accommodation & Food,40-44,15
2003,Accommodation & Food Services,Accommodation & Food,45-49,17.2
2003,Accommodation & Food Services,Accommodation & Food,50-54,16.5
2003,Accommodation & Food Services,Accommodation & Food,55-59,9.6
2003,Accommodation & Food Services,Accommodation & Food,60-64,7
2003,Accommodation & Food Services,Accommodation & Food,65+,4.6
2004,Accommodation & Food Services,Accommodation & Food,15-19,4.6
2004,Accommodation & Food Services,Accommodation & Food,20-24,6.5
2004,Accommodation & Food Services,Accommodation & Food,25-29,7.2
2004,Accommodation & Food Services,Accommodation & Food,30-34,8.4
2004,Accommodation & Food Services,Accommodation & Food,35-39,10.5
2004,Accommodation & Food Services,Accommodation & Food,40-44,15.4
2004,Accommodation & Food Services,Accommodation & Food,45-49,17.6
2004,Accommodation & Food Services,Accommodation & Food,50-54,17.2
2004,Accommodation & Food Services,Accommodation & Food,55-59,11.3
2004,Accommodation & Food Services,Accommodation & Food,60-64,5.5
2004,Accommodation & Food Services,Accommodation & Food,65+,3.7
2005,Accommodation & Food Services,Accommodation & Food,15-19,2.4
2005,Accommodation & Food Services,Accommodation & Food,20-24,6.1
2005,Accommodation & Food Services,Accommodation & Food,25-29,7.2
2005,Accommodation & Food Services,Accommodation & Food,30-34,8.3
2005,Accommodation & Food Services,Accommodation & Food,35-39,10.6
2005,Accommodation & Food Services,Accommodation & Food,40-44,14.9
2005,Accommodation & Food Services,Accommodation & Food,45-49,17.5
